id,timestamp,stream_type,source_detail,event,duration_ms,correlated_stall_ms,notes
20260515_231713_673,2026-05-15T23:17:13.673266-04:00,spotify,librespot,dropout,5167,,
20260515_231719_106,2026-05-15T23:17:19.106729-04:00,spotify,librespot,dropout,5346,,
20260515_232250_051,2026-05-15T23:22:50.051781-04:00,spotify,librespot,dropout,2039,,
20260515_232252_811,2026-05-15T23:22:52.811829-04:00,spotify,librespot,dropout,10616,,
20260515_232310_287,2026-05-15T23:23:10.287358-04:00,spotify,librespot,dropout,2506,,
20260515_232313_490,2026-05-15T23:23:13.490014-04:00,spotify,librespot,dropout,6785,,
20260515_232324_234,2026-05-15T23:23:24.234283-04:00,spotify,librespot,dropout,1735,,
20260515_232326_701,2026-05-15T23:23:26.701319-04:00,spotify,librespot,dropout,9687,,
20260516_000015_306,2026-05-16T00:00:15.306031-04:00,spotify,librespot,play_stop,2731005,,session 2731s
20260516_102028_844,2026-05-16T10:20:28.844697-04:00,spotify,librespot,play_start,,,
20260516_102656_772,2026-05-16T10:26:56.772589-04:00,spotify,librespot,dropout,5476,,
20260516_104236_343,2026-05-16T10:42:36.343897-04:00,spotify,librespot,play_stop,1327499,,session 1327s
20260516_104315_334,2026-05-16T10:43:15.334251-04:00,spotify,librespot,play_start,,,
20260516_104406_254,2026-05-16T10:44:06.254372-04:00,spotify,librespot,play_stop,50920,,session 50s
20260516_104940_227,2026-05-16T10:49:40.227461-04:00,spotify,librespot,play_start,,,
20260516_122609_257,2026-05-16T12:26:09.257494-04:00,spotify,librespot,dropout,1914,,
20260516_122621_433,2026-05-16T12:26:21.433000-04:00,spotify,librespot,pipe_stall,310,,
20260516_122611_898,2026-05-16T12:26:11.898784-04:00,spotify,librespot,dropout,9033,310,
20260516_122702_549,2026-05-16T12:27:02.549043-04:00,spotify,librespot,dropout,1654,,
20260516_122704_906,2026-05-16T12:27:04.906144-04:00,spotify,librespot,dropout,6543,,
20260516_122730_884,2026-05-16T12:27:30.884673-04:00,spotify,librespot,dropout,2105,,
20260516_175341_728,2026-05-16T17:53:41.728338-04:00,spotify,librespot,dropout,5389,,
20260516_175418_724,2026-05-16T17:54:18.724822-04:00,spotify,librespot,play_stop,25478497,,session 25478s
20260516_180117_562,2026-05-16T18:01:17.562977-04:00,spotify,librespot,play_start,,,
20260516_193919_465,2026-05-16T19:39:19.465000-04:00,spotify,librespot,pipe_stall,338,,
20260516_201125_261,2026-05-16T20:11:25.261844-04:00,spotify,librespot,dropout,2310,,
20260516_211150_276,2026-05-16T21:11:50.276881-04:00,spotify,librespot,play_stop,11432713,,session 11432s
20260517_010443_358,2026-05-17T01:04:43.358816-04:00,spotify,librespot,play_start,,,
20260517_010444_051,2026-05-17T01:04:44.051445-04:00,spotify,librespot,play_stop,692,,session 0s
20260517_185306_802,2026-05-17T18:53:06.802484-04:00,spotify,librespot,play_start,,,
20260517_194609_097,2026-05-17T19:46:09.097479-04:00,spotify,librespot,play_stop,3182294,,session 3182s
20260517_210810_587,2026-05-17T21:08:10.587470-04:00,spotify,librespot,play_start,,,
20260517_210811_451,2026-05-17T21:08:11.451000-04:00,spotify,librespot,pipe_stall,733,,
20260517_220612_041,2026-05-17T22:06:12.041923-04:00,spotify,librespot,play_stop,3481454,,session 3481s
